source_version,original_id,original_title,original_priority,original_acceptance,source_path,source_line,decision,polka_requirements,stages,delivery_tasks,decision_note
v1.2,PR-DECK-005,Product block registry,P0,Каждый kind имеет schema/editor/renderer/lint/fixture,docs/prd/v1_2.md,719,adapted,F09;F15,M2;M4,P09;P15,"Роли/schema/fixtures полезны в recipes, но не являются обязательным словарём всех артефактов."
v1.2,PR-DECK-006,YAML projection,P0,Parser/formatter deterministic; semantic round-trip property tests,docs/prd/v1_2.md,720,retired,F20;F24,M3,P20;P24,"Обязательный YAML projection старой AST снят. Агент получает реальные files, manifest и capability contract."
v1.2,PR-DECK-007,Projection write through commands,P0,Invalid/stale YAML не записывается; возвращается structured diff/error,docs/prd/v1_2.md,721,adapted,F04;F09;F20,M2;M3,P04;P09;P20,"Валидация и защита от stale writes остаются; файл/patch проходит новый application contract, не YAML→DeckCommand."
v1.2,PR-DECK-008,Audience/archetype/delivery metadata,P0,Agent и linter получают явный contract,docs/prd/v1_2.md,722,adapted,F13;F15;F17,M2;M3,P13;P15;P17,"Цель/аудитория входят в доступный агенту context и recipe guide, без обязательной анкеты перед загрузкой."
v1.2,PR-DECK-009,Previous-release lineage,P0 model,P1 recurring report может сравнить releases без migration,docs/prd/v1_2.md,723,preserved,F17,M1;M5,P17,Origin revision в модели сразу; UI следующего периода/аудиторий после подтверждения повторного использования.
v1.2,PR-DECK-010,Audience variants lineage,P0 model,"P1 создаёт derived deck, blocks/sources имеют origin refs",docs/prd/v1_2.md,724,preserved,F17,M1;M5,P17,Origin revision в модели сразу; UI следующего периода/аудиторий после подтверждения повторного использования.
v1.2,PR-AGENT-001,Built-in agent,P0,"Запускает те же skills/tools, что MCP client",docs/prd/v1_2.md,747,adapted,F13;F20,M3,P13;P20,"Чат подключается к разрешённому агенту реальным adapter; собственная обязательная модель не нужна, no-agent путь M1/M2."
v1.2,PR-AGENT-002,Remote MCP,P0,OAuth/scoped access; compatibility tests с минимум двумя clients,docs/prd/v1_2.md,748,adapted,F13;F20,M3,P13;P20,Scoped remote MCP. Каждый заявленный client проверяется отдельно; минимум два клиента старого P0 не блокируют первый adapter.
v1.2,PR-AGENT-003,CLI,P0,"Human/CI может start run, inspect, render, submit proposal",docs/prd/v1_2.md,749,preserved,F13;F20,M3,P13;P20,"Один application contract, scoped actor и наблюдаемый run; подключение принимается реально."
v1.2,PR-AGENT-004,Small task-oriented tools,P0,Tool catalog не раскрывает database/renderer internals,docs/prd/v1_2.md,750,preserved,F13;F20,M3,P13;P20,"Один application contract, scoped actor и наблюдаемый run; подключение принимается реально."
v1.2,PR-AGENT-005,Product-wide skill registry,P0,"Skill имеет version, inputs, outputs, required scopes, eval suite",docs/prd/v1_2.md,751,preserved,F13;F15,M3;M4,P13;P15,Run/proposal pin-ит точные skill/model/recipe/policy и provenance; общий skill не содержит частный контекст.
v1.2,PR-AGENT-006,Proposal-only mutation,P0,Agent writes never change approved/published revision directly,docs/prd/v1_2.md,752,preserved,F14,M3,P14,Агент предлагает candidate к base revision; stale write не стирает человеческую правку.
v1.2,PR-AGENT-007,Base revision/rebase,P0,Concurrent human change даёт clean rebase или explicit conflict,docs/prd/v1_2.md,753,preserved,F14,M3,P14,Агент предлагает candidate к base revision; stale write не стирает человеческую правку.
v1.2,PR-AGENT-008,AgentRun lifecycle,P0,progress/cancel/retry/waiting_for_input visible in product,docs/prd/v1_2.md,754,preserved,F13;F20,M3,P13;P20,"Один application contract, scoped actor и наблюдаемый run; подключение принимается реально."
v1.2,PR-AGENT-009,Skill provenance,P0,"Proposal stores agent app, skill versions, model/provider and source refs",docs/prd/v1_2.md,755,preserved,F13;F15,M3;M4,P13;P15,Run/proposal pin-ит точные skill/model/recipe/policy и provenance; общий skill не содержит частный контекст.
v1.2,PR-AGENT-010,No publish/certify tool,Never,Tool catalog/schema lacks operation; server rejects equivalent bypass,docs/prd/v1_2.md,756,preserved,F14;F15,M3;M4,P14;P15,"Agent actor не может approve/publish/certify ни инструментом, ни обходным API."
v1.2,PR-REV-001,Semantic command-group diff,P0,User sees title/content/data/source/recipe/asset changes,docs/prd/v1_2.md,762,adapted,F14,M3,P14,Review связан с revision и устойчивым anchor поддержанного содержимого; не со схемой слайда.
v1.2,PR-REV-002,Before/after slide images,P0,Every changed slide has authoritative thumbnails,docs/prd/v1_2.md,763,adapted,F14,M3,P14,Review связан с revision и устойчивым anchor поддержанного содержимого; не со схемой слайда.
v1.2,PR-REV-003,Partial acceptance,P0,Apply by proposal/section/slide/block/group; dependencies validated,docs/prd/v1_2.md,764,deferred,F14,M5,P14,"Сначала accept целого candidate; частичная приёмка лишь независимых проверяемых групп, не произвольных DOM diff."
v1.2,PR-REV-004,Block-anchored comments,P0,Comment survives recipe change/re-render,docs/prd/v1_2.md,765,adapted,F14,M3,P14,"Anchor = revision/route/semantic ID или fallback region; потерянный anchor помечается, обещания выжить после любого JS rewrite нет."
v1.2,PR-REV-005,Comment → agent run,P0,Assignment creates linked run/proposal/thread response,docs/prd/v1_2.md,766,adapted,F14,M3,P14,Review связан с revision и устойчивым anchor поддержанного содержимого; не со схемой слайда.
v1.2,PR-REV-006,Managed-light direct edit,P0,Same typed command and revision semantics as agent changes,docs/prd/v1_2.md,767,adapted,F09;F14,M2;M3,P09;P14,Прямые правки source и агентские candidate используют одну семантику версий/CAS.
v1.2,PR-REV-007,Full managed editor,P1,"Drag/drop slots, richer authoring, multi-selection",docs/prd/v1_2.md,768,deferred,F09;F18,M5,P09;P18,Полный Figma-подобный editor не обещан в первом выпуске; расширение только по проверенным типам содержимого.
v1.2,PR-BRAND-001,Tenant-level Brand Library,P0,Templates/assets/fonts/guides centrally governed,docs/prd/v1_2.md,774,preserved,F15,M4,P15,"Tenant-owned design package: immutable version, policy, assets, guide и human certification."
v1.2,PR-BRAND-002,Immutable BrandPackRelease manifest,P0,Pins exact component versions and hashes,docs/prd/v1_2.md,775,preserved,F15,M4,P15,"Tenant-owned design package: immutable version, policy, assets, guide и human certification."
v1.2,PR-BRAND-003,Brand Profile,P0,"Colors, typography, spacing, logo, page geometry, image style",docs/prd/v1_2.md,776,preserved,F15,M4,P15,"Tenant-owned design package: immutable version, policy, assets, guide и human certification."
v1.2,PR-BRAND-004,Writing Guide,P0,"Tone, terminology, prohibited phrases, product naming",docs/prd/v1_2.md,777,preserved,F15,M4,P15,"Tenant-owned design package: immutable version, policy, assets, guide и human certification."
v1.2,PR-BRAND-005,Archetype Set,P0,Contracts and curated examples for allowed deck types,docs/prd/v1_2.md,778,preserved,F15,M4,P15,"Tenant-owned design package: immutable version, policy, assets, guide и human certification."
v1.2,PR-BRAND-006,Reference Corpus,P0,Slides/materials have authority/status/date/classification,docs/prd/v1_2.md,779,preserved,F15,M4,P15,"Tenant-owned design package: immutable version, policy, assets, guide и human certification."
v1.2,PR-BRAND-007,Asset Library,P0,Assets include rights/provenance/search metadata,docs/prd/v1_2.md,780,preserved,F15,M4,P15,"Tenant-owned design package: immutable version, policy, assets, guide и human certification."
v1.2,PR-BRAND-008,Template Packages,P0,Tokens/components/recipes/policies/fixtures/agent guides,docs/prd/v1_2.md,781,preserved,F15,M4,P15,"Tenant-owned design package: immutable version, policy, assets, guide и human certification."
v1.2,PR-BRAND-009,Workspace subscription,P0,Workspace sees allowed releases; deck pins exact release,docs/prd/v1_2.md,782,preserved,F15,M4,P15,"Tenant-owned design package: immutable version, policy, assets, guide и human certification."
v1.2,PR-BRAND-010,Subbrand inheritance,P0,Resolved at certification into effective release,docs/prd/v1_2.md,783,deferred,F15;F17,M5,P15;P17,Subbrand inheritance и массовая миграция требуют отдельного diff/impact; published release не меняется автоматически.
v1.2,PR-BRAND-011,Rebrand migration preview,P1,Impact by deck/slide/block and visual diff,docs/prd/v1_2.md,784,deferred,F15;F17,M5,P15;P17,Subbrand inheritance и массовая миграция требуют отдельного diff/impact; published release не меняется автоматически.
v1.2,PR-ONB-001,Onboarding run entity,P0,"Status, materials, candidates, decisions, tests and audit are durable",docs/prd/v1_2.md,790,deferred,F15,M5,P15,Полный assisted/self-service brand onboarding после ручной проверяемой корпоративной библиотеки.
v1.2,PR-ONB-002,Sandboxed import,P0,Macros/network/zip bombs/active SVG blocked; time and size limits,docs/prd/v1_2.md,791,preserved,F05;F08;F16,M1;M4,P05;P08;P16,Безопасная загрузка и bounded extraction с первого поддержанного формата; не ждать полного onboarding UI.
v1.2,PR-ONB-003,Material classification,P0,template/reference/brandbook/font/logo/asset/writing-guide types,docs/prd/v1_2.md,792,deferred,F15,M5,P15,Полный assisted/self-service brand onboarding после ручной проверяемой корпоративной библиотеки.
v1.2,PR-ONB-004,Authority labels,P0,normative/recommended/illustrative/exception/obsolete/unknown,docs/prd/v1_2.md,793,deferred,F15,M5,P15,Полный assisted/self-service brand onboarding после ручной проверяемой корпоративной библиотеки.
v1.2,PR-ONB-005,Candidate evidence,P0,Every candidate links to page/slide/object and extraction version,docs/prd/v1_2.md,794,deferred,F15,M5,P15,Полный assisted/self-service brand onboarding после ручной проверяемой корпоративной библиотеки.
v1.2,PR-ONB-006,Conflict resolution,P0,"Conflicting colors/rules/layouts shown explicitly, never silently merged",docs/prd/v1_2.md,795,deferred,F15,M5,P15,Полный assisted/self-service brand onboarding после ручной проверяемой корпоративной библиотеки.
v1.2,PR-ONB-007,Brand profile generation,P0,Human can accept/edit/reject each candidate,docs/prd/v1_2.md,796,deferred,F15,M5,P15,Полный assisted/self-service brand onboarding после ручной проверяемой корпоративной библиотеки.
v1.2,PR-ONB-008,Recipe clustering,P0,"Shows cluster members, weighted coverage, exceptions and slot proposal",docs/prd/v1_2.md,797,deferred,F15,M5,P15,Полный assisted/self-service brand onboarding после ручной проверяемой корпоративной библиотеки.
v1.2,PR-ONB-009,Agent guide generation,P0,"Each recipe has when-to-use, required/optional slots, anti-patterns and examples",docs/prd/v1_2.md,798,deferred,F15,M5,P15,Полный assisted/self-service brand onboarding после ручной проверяемой корпоративной библиотеки.
v1.2,PR-ONB-010,Fixture/golden runner,P0,Certification blocked on unresolved blocking fixtures,docs/prd/v1_2.md,799,preserved,F15;F18,M4,P15;P18,"Golden corpus, реальные разные design systems и human-only certification — условия корпоративного допуска."
v1.2,PR-ONB-011,Test deck,P0,Real/approved brief runs through production skills and review rubric,docs/prd/v1_2.md,800,preserved,F15;F18,M4,P15;P18,"Golden corpus, реальные разные design systems и human-only certification — условия корпоративного допуска."
v1.2,PR-ONB-012,Human-only certification,P0,Agent identity cannot call endpoint or obtain scope,docs/prd/v1_2.md,801,preserved,F15;F18,M4,P15;P18,"Golden corpus, реальные разные design systems и human-only certification — условия корпоративного допуска."
v1.2,PR-ONB-013,Full self-serve onboarding,P1,Brand Admin can complete flow without our implementation team,docs/prd/v1_2.md,802,deferred,F15,M5,P15,Полный assisted/self-service brand onboarding после ручной проверяемой корпоративной библиотеки.
v1.2,PR-LAYOUT-001,Declarative recipes,P0,accepts/slots/constraints/fallback/agent-guide; no code,docs/prd/v1_2.md,808,adapted,F08;F15,M2,P08;P15,Recipe guide/constraints полезны; обязательное no-code правило всех артефактов заменено профилями исполнения.
v1.2,PR-LAYOUT-002,Real font measurement,P0,Blocking overflow detected after approved fonts loaded,docs/prd/v1_2.md,809,adapted,F08;F15;F18,M2,P08;P15;P18,Качество проверяется по профилю браузерного отображения; старый layout compiler не переносится.
v1.2,PR-LAYOUT-003,Deterministic candidate selection,P0,Same inputs/compiler version → same layout result,docs/prd/v1_2.md,810,adapted,F08;F15;F18,M2,P08;P15;P18,Качество проверяется по профилю браузерного отображения; старый layout compiler не переносится.
v1.2,PR-LAYOUT-004,Hard constraints,P0,overlap/clipping/missing glyph/min font/safe area block publish,docs/prd/v1_2.md,811,adapted,F08;F15;F18,M2,P08;P15;P18,Качество проверяется по профилю браузерного отображения; старый layout compiler не переносится.
v1.2,PR-LAYOUT-005,Fallback chain,P0,compact/alternate recipe/split before font shrink below policy,docs/prd/v1_2.md,812,adapted,F08;F15;F18,M2,P08;P15;P18,Качество проверяется по профилю браузерного отображения; старый layout compiler не переносится.
v1.2,PR-LAYOUT-006,Shared render core,P0,Preview/images/PDF use one LayoutResult,docs/prd/v1_2.md,813,adapted,F08;F24,M2;M5,P08;P24,Pinned runtime/fonts/viewport и HTML snapshots вместо старого LayoutResult; PDF с отдельным экспортным допуском.
v1.2,PR-LAYOUT-007,Fixed renderer image,P0,Renderer version and font hashes in manifest,docs/prd/v1_2.md,814,adapted,F08;F24,M2;M5,P08;P24,Pinned runtime/fonts/viewport и HTML snapshots вместо старого LayoutResult; PDF с отдельным экспортным допуском.
v1.2,PR-LAYOUT-008,Detached freeform fragment,P1,Explicit risk/limited migration,docs/prd/v1_2.md,815,adapted,F08;F09,M2,P08;P09,"Свободный HTML — самостоятельный тип, а не detached escape hatch внутри DeckDoc."
v1.2,PR-ASSET-001,Content-addressed storage,P0,Duplicate bytes reuse immutable blob,docs/prd/v1_2.md,821,adapted,F04;F21,M1,P04;P21,Дедупликация по immutable hash внутри tenant; cross-tenant global dedup не включается в M1.
v1.2,PR-ASSET-002,Rights/provenance/classification,P0,Unknown rights can block external publication,docs/prd/v1_2.md,822,preserved,F10;F15;F16,M2;M4,P10;P15;P16,Права на web/server/export/embed и classification фиксируются отдельно; unknown rights могут блокировать распространение.
v1.2,PR-ASSET-003,Corporate semantic search,P0,Agent searches allowed Brand/Workspace assets first,docs/prd/v1_2.md,823,deferred,F16;F21,M5,P16;P21,Semantic/vector поиск корпоративных ассетов после ACL-correct metadata search; approved-library-first остаётся политикой M4.
v1.2,PR-ASSET-004,Image-style profile,P0,"Allowed types, composition, palette, references and prohibitions",docs/prd/v1_2.md,824,preserved,F15;F16,M3;M4,P15;P16,Pinned image style: purpose/composition/palette/reference/ограничения.
v1.2,PR-ASSET-005,Provider policy broker,P0,Provider/model/region/egress controlled by tenant policy,docs/prd/v1_2.md,825,preserved,F10;F16,M3;M4,P10;P16,Tenant policy разрешает конкретный provider/model/region/context; credentials не входят в agent prompt.
v1.2,PR-ASSET-006,Candidate generation,P0,2–4 candidates; no automatic acceptance,docs/prd/v1_2.md,826,adapted,F16,M3,P16,"Число candidates ограничено budget/capability, не обязательно 2–4; выбор явен и публикуется тот же hash."
v1.2,PR-ASSET-007,Generation provenance,P0,Provider/model/request hash/references/actor/run/date stored,docs/prd/v1_2.md,827,preserved,F16,M3;M4,P16,"Права, происхождение и неизменяемый выбранный asset сохраняются независимо от модели."
v1.2,PR-ASSET-008,Focal point/crop,P0,Preview and PDF match,docs/prd/v1_2.md,828,adapted,F09;F24,M2;M5,P09;P24,Crop поддержанного компонента; отдельная проверка соответствия при PDF export.
v1.2,PR-ASSET-009,Font rights,P0,"Separate rights for upload, web use, server render, PDF embed/subset",docs/prd/v1_2.md,829,preserved,F10;F15;F16,M2;M4,P10;P15;P16,Права на web/server/export/embed и classification фиксируются отдельно; unknown rights могут блокировать распространение.
v1.2,PR-ASSET-010,Structural visuals,P0,"steps/flow/comparison are semantic blocks, not raster images",docs/prd/v1_2.md,830,adapted,F08;F09;F15,M2,P08;P09;P15,Предпочтительны native DOM/SVG/chart components с данными; не обязательный старый semantic block registry.
v1.2,PR-DATA-001,Immutable CSV/JSON snapshot,P0,"Hash, schema, units, row count, as-of and classification",docs/prd/v1_2.md,836,preserved,F16,M2;M4,P16,Данные рецепта в M2; полный snapshot/source/freshness pipeline в M4.
v1.2,PR-DATA-002,Declarative chart IR,P0,No arbitrary JS; renderer adapter is replaceable,docs/prd/v1_2.md,837,adapted,F09;F16,M2;M4,P09;P16,Schema chart data полезна в recipes; обязательный единый chart IR/no-JS не ограничивает всю платформу.
v1.2,PR-DATA-003,Source registry,P0,Claim/metric/chart/table can reference source IDs,docs/prd/v1_2.md,838,preserved,F16,M2;M4,P16,Данные рецепта в M2; полный snapshot/source/freshness pipeline в M4.
v1.2,PR-DATA-004,Freshness policy,P0,Warn/block based on archetype and tenant rule,docs/prd/v1_2.md,839,preserved,F16,M2;M4,P16,Данные рецепта в M2; полный snapshot/source/freshness pipeline в M4.
v1.2,PR-DATA-005,Units/period lint,P0,Mismatch surfaced before review,docs/prd/v1_2.md,840,preserved,F16,M2;M4,P16,Данные рецепта в M2; полный snapshot/source/freshness pipeline в M4.
v1.2,PR-DATA-006,Data diff,P0,Proposal shows value/period/source changes,docs/prd/v1_2.md,841,preserved,F14;F16,M3;M4,P14;P16,"Review показывает изменения чисел/периода/источника, не только PNG."
v1.2,PR-DATA-007,Connectors,P1,Governed BI/DWH/document connectors,docs/prd/v1_2.md,842,deferred,F10;F16,M5,P10;P16,Каждый BI/DWH/document connector имеет scope/snapshot/policy и отдельную приёмку.
v1.2,PR-QA-001,Deterministic layout lint,P0,Blocking issues reproducible,docs/prd/v1_2.md,848,adapted,F18;F19,M2;M3,P18;P19,"Корпус браузерных сценариев, доступность и человеческая оценка, без ложной приёмки по одним PNG."
v1.2,PR-QA-002,Brand/content contract lint,P0,"Recipe, wording, logo, typography and density policies",docs/prd/v1_2.md,849,adapted,F15;F18,M2;M4,P15;P18,Recipe quality сначала; корпоративный writing/brand contract в M4.
v1.2,PR-QA-003,Data/source lint,P0,Missing/stale/unknown units/snapshot errors,docs/prd/v1_2.md,850,preserved,F16,M2;M4,P16,Missing/stale/source/unit ошибки видимы и учитывают критичность/tenant policy.
v1.2,PR-QA-004,Accessibility lint,P0,"alt text, contrast, reading order metadata, color-only meaning",docs/prd/v1_2.md,851,preserved,F18,M1;M2,P18,Keyboard/contrast/alt/order для оболочки и поддержанного контента; canvas stream не объявляется полностью доступным.
v1.2,PR-QA-005,Standalone critique,P0,Versioned model pass yields structured issues and rationale summary,docs/prd/v1_2.md,852,adapted,F13;F18,M3,P13;P18,"Отдельная структурированная reader/visual critique, budget, escalation и human accept; модель не является единственным gate."
v1.2,PR-QA-006,Visual critique,P0,Detects artifacts/hierarchy/crop anomalies; advisory unless corroborated,docs/prd/v1_2.md,853,adapted,F13;F18,M3,P13;P18,"Отдельная структурированная reader/visual critique, budget, escalation и human accept; модель не является единственным gate."
v1.2,PR-QA-007,Bounded repair loop,P0,Max iterations/time/cost; unresolved issue escalates to human,docs/prd/v1_2.md,854,adapted,F13;F18,M3,P13;P18,"Отдельная структурированная reader/visual critique, budget, escalation и human accept; модель не является единственным gate."
v1.2,PR-QA-008,Eval harness,P0,"Corpus briefs, expected contracts, automated metrics and human rubric",docs/prd/v1_2.md,855,adapted,F18;F19,M2;M3,P18;P19,"Корпус браузерных сценариев, доступность и человеческая оценка, без ложной приёмки по одним PNG."
v1.2,PR-PUB-001,Review exact revision,P0,Comments and approvals reference revision,docs/prd/v1_2.md,861,preserved,F14,M4,P14,Официальный выпуск требует прав/approval точной версии; обычный share — отдельное действие.
v1.2,PR-PUB-002,Role separation,P0,Agent cannot approve/publish; optional four-eyes policy,docs/prd/v1_2.md,862,preserved,F14,M4,P14,Официальный выпуск требует прав/approval точной версии; обычный share — отдельное действие.
v1.2,PR-PUB-003,Authoritative preflight,P0,Publish runs deterministic lint/render on frozen inputs,docs/prd/v1_2.md,863,adapted,F04;F14;F24,M1;M4;M5,P04;P14;P24,Неизменяемый release bundle/manifest с exact dependency hashes; PDF необязателен и выпускается отдельным проверенным exporter.
v1.2,PR-PUB-004,Manifest,P0,Deck/Brand Pack/renderer/fonts/assets/data/sources/approvals hashes,docs/prd/v1_2.md,864,adapted,F04;F14;F24,M1;M4;M5,P04;P14;P24,Неизменяемый release bundle/manifest с exact dependency hashes; PDF необязателен и выпускается отдельным проверенным exporter.
v1.2,PR-PUB-005,Immutable artifact,P0,Existing PDF is not overwritten,docs/prd/v1_2.md,865,adapted,F04;F14;F24,M1;M4;M5,P04;P14;P24,Неизменяемый release bundle/manifest с exact dependency hashes; PDF необязателен и выпускается отдельным проверенным exporter.
v1.2,PR-PUB-006,External share policy,P1,Expiry/watermark/revoke/classification,docs/prd/v1_2.md,866,adapted,F07;F10;F14,M1;M4,P07;P10;P14,"Audience/expiry/revoke/copy/download в M1; обязательный watermark только в принятом viewer/export profile M4, не защита от снимка экрана."
v1.2,PR-ENT-001,Tenant isolation,P0,Automated cross-tenant tests on every persistence/cache path,docs/prd/v1_2.md,872,preserved,F02;F03;F21,M0;M1,P02;P03;P21,"Cross-tenant отрицательные проверки на DB/storage/cache/search/jobs, не только UI."
v1.2,PR-ENT-002,Model/provider policies,P0,Classification-aware allow/deny and region,docs/prd/v1_2.md,873,preserved,F10,M0;M3;M4,P10,Classification-aware разрешение provider/model/region проверяется сервером.
v1.2,PR-ENT-003,Delegated and service identities,P0,Audit chain user → agent app → run → command,docs/prd/v1_2.md,874,preserved,F03;F11;F13;F20,M0;M3,P03;P11;P13;P20,Делегированный либо service actor с ограниченным scope; audit user→app→run→operation.
v1.2,PR-ENT-004,Scopes,P0,"Least privilege for deck, source, asset and brand onboarding operations",docs/prd/v1_2.md,875,preserved,F03;F11;F13;F20,M0;M3,P03;P11;P13;P20,Делегированный либо service actor с ограниченным scope; audit user→app→run→operation.
v1.2,PR-ENT-005,Audit export,P0,Human/agent changes and certification events queryable,docs/prd/v1_2.md,876,preserved,F11,M0;M4,P11,"Аудит writes/certification с начала, admin/export в корпоративном допуске."
v1.2,PR-ENT-006,SSO/SCIM/ABAC,P1,Enterprise rollout,docs/prd/v1_2.md,877,preserved,F23,M4,P23,Внутренняя поставка/IdP/lifecycle/provider isolation проверяются выбранным оператором; не выводятся из факта open source.
v1.2,PR-ENT-007,Private/on-prem,P1,Deployment and provider isolation,docs/prd/v1_2.md,878,preserved,F23,M4,P23,Внутренняя поставка/IdP/lifecycle/provider isolation проверяются выбранным оператором; не выводятся из факта open source.
v2.0,PR-ORG-001,"Tenant, Brand Library, Workspace и Deck ACL",not specified in row,Любой read/write проверяет tenant и effective permission,docs/prd/v2_0.md,1068,preserved,F02;F03;F07,M0;M1,P02;P03;P07,Организация владеет работами; ссылка не подменяет membership.
v2.0,PR-ORG-002,Template принадлежит tenant,not specified in row,Workspace не создаёт независимую certified копию,docs/prd/v2_0.md,1069,preserved,F15,M4,P15,"Certified библиотека принадлежит tenant, workspace подписывается на точную разрешённую версию."
v2.0,PR-ORG-003,Internal share link,not specified in row,"Пользователь без access получает deny, ссылка сама право не создаёт",docs/prd/v2_0.md,1070,preserved,F02;F03;F07,M0;M1,P02;P03;P07,Организация владеет работами; ссылка не подменяет membership.
v2.0,PR-ORG-004,External release link policy,not specified in row,Expiration/watermark/download policy применяются к release,docs/prd/v2_0.md,1071,adapted,F07;F10;F14,M1;M4,P07;P10;P14,"Audience/expiry/revoke/copy/download в M1; обязательный watermark только в принятом viewer/export profile M4, не защита от снимка экрана."
v2.0,PR-ORG-005,Audit,not specified in row,"Создание, agent writes, comments, accepts, approvals и publish имеют actor/time/object",docs/prd/v2_0.md,1072,preserved,F11,M0;M4,P11,Audit envelope/outbox сразу; admin/export в M4.
v2.0,PR-ORG-006,Data classification,not specified in row,Deck наследует/повышает classification от inputs; понижение требует permission,docs/prd/v2_0.md,1073,preserved,F10,M0;M4,P10,Classification наследуется/повышается от inputs; downgrade требует отдельного права.
v2.0,PR-DECK-001,Создать deck из brief,not specified in row,"Создаётся `DeckRecord`, empty revision и AgentRun либо manual draft",docs/prd/v2_0.md,1079,adapted,F09;F13,M2;M3,P09;P13,Старт с файла/готового рецепта без агента; бриф→подключённый разрешённый агент отдельным этапом.
v2.0,PR-DECK-002,Immutable revision,not specified in row,Сохранённая revision не меняется; новая команда создаёт следующую,docs/prd/v2_0.md,1080,preserved,F04,M1,P04,Новая immutable revision вместо изменения сохранённого источника.
v2.0,PR-DECK-003,Stable IDs,not specified in row,Block/source/comment anchors сохраняются после reorder/recipe switch,docs/prd/v2_0.md,1081,adapted,F09;F14,M2;M3,P09;P14,Устойчивые anchors в поддержанных элементах; исчезнувший anchor не маскируется.
v2.0,PR-DECK-004,Checkpoint,not specified in row,Можно именовать revision и восстановить как новый branch/draft,docs/prd/v2_0.md,1082,preserved,F04;F12,M1;M2,P04;P12,"Checkpoint и restore создают новую revision, не переписывают историю."
v2.0,PR-DECK-005,Derived deck lineage,not specified in row,Regular update/audience variant хранит origin,docs/prd/v2_0.md,1083,preserved,F17,M1;M5,P17,Lineage хранится с начала; scheduler и варианты аудитории не блокируют M1.
v2.0,PR-DECK-006,Soft delete/restore,not specified in row,Audit и releases не исчезают,docs/prd/v2_0.md,1084,preserved,F12,M1,P12,"Soft delete/restore, references и audit согласованы; purge имеет отдельный контракт."
v2.0,PR-AGENT-001,Embedded agent P0,not specified in row,Создание из brief не требует внешнего IDE,docs/prd/v2_0.md,1090,adapted,F13;F20,M3,P13;P20,"Чат подключается к разрешённому агенту реальным adapter; собственная обязательная модель не нужна, no-agent путь M1/M2."
v2.0,PR-AGENT-002,Remote MCP,not specified in row,Внешний client получает tools/resources после OAuth/scoped auth,docs/prd/v2_0.md,1091,adapted,F13;F20,M3,P13;P20,Scoped remote MCP. Каждый заявленный client проверяется отдельно; минимум два клиента старого P0 не блокируют первый adapter.
